Process edges: 69
NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_EXPORT:QIIME2_EXPORT_ABSOLUTE -> NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_EXPORT:COMBINE_TABLE_QIIME2
NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_EXPORT:QIIME2_EXPORT_ABSOLUTE -> NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_EXPORT:COMBINE_TABLE_SINTAX
NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_EXPORT:QIIME2_EXPORT_RELASV -> NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_BARPLOTAVG:QIIME2_INASV_BPAVG
NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_EXPORT:QIIME2_EXPORT_RELASV -> NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_EXPORT:COMBINE_TABLE_DADA2
NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_EXPORT:QIIME2_EXPORT_RELASV -> NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_EXPORT:COMBINE_TABLE_PPLACE
NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_EXPORT:QIIME2_EXPORT_RELASV -> NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_EXPORT:COMBINE_TABLE_QIIME2
NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_EXPORT:QIIME2_EXPORT_RELASV -> NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_EXPORT:COMBINE_TABLE_SINTAX
NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_INASV -> NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_TABLEFILTERTAXA
NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_INSEQ -> NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_SEQFILTERTABLE
NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_INTAX -> NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_BARPLOT
NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_INTAX -> NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_EXPORT:QIIME2_EXPORT_ABSOLUTE
NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_INTAX -> NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_EXPORT:QIIME2_EXPORT_RELTAX
NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_INTAX -> NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_TABLEFILTERTAXA
NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_PREPTAX:QIIME2_EXTRACT -> NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_PREPTAX:QIIME2_TRAIN
NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_PREPTAX:QIIME2_TRAIN -> NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_TAXONOMY:QIIME2_CLASSIFY
NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_SEQFILTERTABLE -> NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_DIVERSITY:QIIME2_TREE
NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_SEQFILTERTABLE -> NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_EXPORT:QIIME2_EXPORT_ABSOLUTE
NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_TABLEFILTERTAXA -> NFCORE_AMPLISEQ:AMPLISEQ:FILTER_STATS
NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_TABLEFILTERTAXA -> NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_BARPLOT
NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_TABLEFILTERTAXA -> NFCORE_AMPLISEQ:AMPLISEQ:QIIME2_DIVERSITY:QIIME2_ALPHARAREFACTION
